"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"Epic Jackpot Slots: Slot Machines & Bonus Games","0.00","2291","5.0","$330,000.00","$142,000.00","$188,000.00"
"Pinchworm","0.00","2288","5.0","$330,000.00","$142,000.00","$188,000.00"
"喜马拉雅FM（听书社区）电台有声小说相声英语","0.00","2111","5.0","$330,000.00","$142,000.00","$188,000.00"
"Patternator Pattern Maker Backgrounds & Wallpapers","0.00","2092","5.0","$330,000.00","$142,000.00","$188,000.00"
"BeautyCam - AR Carnie selfie","0.00","2082","5.0","$330,000.00","$142,000.00","$188,000.00"
"Memorado Brain Training for Memory & Mindfulness","0.00","2067","5.0","$330,000.00","$142,000.00","$188,000.00"
"⋆Solitaire⋆","0.00","2059","5.0","$330,000.00","$142,000.00","$188,000.00"
"Coin Dozer: Casino","0.00","2024","5.0","$330,000.00","$142,000.00","$188,000.00"
"100 PICS Coloring - free color in book game app","0.00","1929","5.0","$330,000.00","$142,000.00","$188,000.00"
"A Noble Circle","0.99","1886","5.0","$330,000.00","$142,000.00","$188,000.00"
"Stickman Basketball 2017","0.00","1835","5.0","$330,000.00","$142,000.00","$188,000.00"
"KIXIFY - Buy & Sell Sneakers","0.00","1735","5.0","$330,000.00","$142,000.00","$188,000.00"
"快看漫画","0.00","1647","5.0","$330,000.00","$142,000.00","$188,000.00"
"Forest Rescue 2: Friends United Match 3 Puzzle","0.00","1505","5.0","$330,000.00","$142,000.00","$188,000.00"
"Cafe Story - Play Cooking & Farming Game","0.00","1498","5.0","$330,000.00","$142,000.00","$188,000.00"
"BuzzFeed Video","0.00","1492","5.0","$330,000.00","$142,000.00","$188,000.00"
"Vintage Slots Las Vegas - Old Slot Machine Games!","0.00","1474","5.0","$330,000.00","$142,000.00","$188,000.00"
"Slots: Fast Fortune Slot Machines & Fun Slot Games","0.00","1474","5.0","$330,000.00","$142,000.00","$188,000.00"
"4x4 Dirt Track Trials Forest Driving Parking Sim","0.00","1441","5.0","$330,000.00","$142,000.00","$188,000.00"
"Stickman Base Jumper 2","0.00","1362","5.0","$330,000.00","$142,000.00","$188,000.00"
"酷我音乐HD-无损在线播放","0.00","1340","5.0","$330,000.00","$142,000.00","$188,000.00"
"Suрer Toss The Turtle","0.00","1339","5.0","$330,000.00","$142,000.00","$188,000.00"
"Bullet Hell Monday","0.00","1296","5.0","$330,000.00","$142,000.00","$188,000.00"
"DANDY DUNGEON Legend of Brave Yamada","0.00","1204","5.0","$330,000.00","$142,000.00","$188,000.00"
"Blink Health","0.00","1198","5.0","$330,000.00","$142,000.00","$188,000.00"
"Slots: Get Rich Slot Machines Casino Slot Games","0.00","1168","5.0","$330,000.00","$142,000.00","$188,000.00"
"Bike Traffic Rider an Extreme Real Endless Road Racer Racing Game","0.00","1052","5.0","$330,000.00","$142,000.00","$188,000.00"
"Majiang Mahjong（单机+川麻+二人+武汉+国标）","0.00","1007","5.0","$330,000.00","$142,000.00","$188,000.00"
"Pitu","0.00","968","5.0","$330,000.00","$142,000.00","$188,000.00"
"Butt Sworkit - Free Workout Trainer to tone & lift","0.00","960","5.0","$330,000.00","$142,000.00","$188,000.00"
"HOOK","0.99","959","5.0","$330,000.00","$142,000.00","$188,000.00"
